,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
0,1,Brenden Aaronson,us USA,"MF,FW",Philadelphia,18,2000,28,25,1706,3,1,0,0,3,0,0.16,0.05,0.21,0.16,0.21,3.9,3.9,2.1,0.20,0.11,0.32,0.20,0.32,Matches
1,2,Saad Abdul-Salaam,us USA,DF,Seattle,27,1991,18,11,1067,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.8,0.01,0.07,0.08,0.01,0.08,Matches
2,3,Lalas Abubakar,gh GHA,DF,Colorado,24,1994,22,22,1980,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,1.3,1.3,0.1,0.06,0.00,0.06,0.06,0.06,Matches
3,4,Lalas Abubakar,gh GHA,DF,Columbus,24,1994,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.19,0.00,0.19,0.19,0.19,Matches
4,5,David Accam,gh GHA,FW,Philadelphia,28,1990,8,4,338,4,2,0,0,0,0,1.07,0.53,1.60,1.07,1.60,2.1,2.1,0.2,0.56,0.05,0.62,0.56,0.62,Matches
5,6,David Accam,gh GHA,"FW,MF",Columbus,28,1990,15,8,667,2,1,0,0,1,0,0.27,0.13,0.40,0.27,0.40,1.2,1.2,1.0,0.16,0.13,0.30,0.16,0.30,Matches
6,7,Bryan Acosta,hn HON,MF,FC Dallas,25,1993,26,23,2073,2,1,0,0,12,0,0.09,0.04,0.13,0.09,0.13,2.0,2.0,2.2,0.09,0.09,0.18,0.09,0.18,Matches
7,8,Danilo Acosta,us USA,DF,Orlando City,21,1997,8,8,667,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.04,0.05,0.01,0.05,Matches
8,9,Kellyn Acosta,us USA,MF,Colorado,23,1995,31,30,2615,2,1,0,0,10,1,0.07,0.03,0.10,0.07,0.10,1.5,1.5,2.3,0.05,0.08,0.13,0.05,0.13,Matches
9,10,Luciano Acosta,ar ARG,"MF,FW",D.C. United,24,1994,31,22,2122,6,1,0,0,0,1,0.25,0.04,0.30,0.25,0.30,4.3,4.3,2.8,0.18,0.12,0.30,0.18,0.30,Matches
10,11,Mo Adams,eng ENG,"DF,MF",Atlanta,22,1996,4,1,93,1,0,0,0,1,0,0.97,0.00,0.97,0.97,0.97,0.1,0.1,0.1,0.13,0.12,0.25,0.13,0.25,Matches
11,12,Mo Adams,eng ENG,MF,Chicago,22,1996,10,5,487,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.4,0.01,0.08,0.08,0.01,0.08,Matches
12,13,Fanendo Adi,ng NGA,FW,FC Cincinnati,28,1990,12,7,700,1,0,0,0,1,0,0.13,0.00,0.13,0.13,0.13,3.0,3.0,0.1,0.38,0.01,0.39,0.38,0.39,Matches
13,14,Ali Adnan Kadhim,iq IRQ,DF,Vancouver,25,1993,28,28,2410,1,3,0,1,6,0,0.04,0.11,0.15,0.04,0.15,2.4,1.7,1.9,0.09,0.07,0.16,0.06,0.14,Matches
14,15,François Affolter,ch SUI,DF,San Jose,27,1991,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
15,16,Harrison Afful,gh GHA,DF,Columbus,32,1986,22,22,1903,0,2,0,0,3,1,0.00,0.09,0.09,0.00,0.09,0.7,0.7,1.5,0.03,0.07,0.11,0.03,0.11,Matches
16,17,Juan Agudelo,us USA,"MF,FW",New England,26,1992,28,21,1954,3,1,0,0,7,0,0.14,0.05,0.18,0.14,0.18,4.2,3.6,2.2,0.19,0.10,0.30,0.17,0.27,Matches
17,18,Tesho Akindele,ca CAN,FW,Orlando City,26,1992,28,22,1875,10,1,0,0,1,0,0.48,0.05,0.53,0.48,0.53,8.9,8.9,1.7,0.43,0.08,0.51,0.43,0.51,Matches
18,19,Ayo Akinola,us USA,"FW,MF",Toronto FC,19,2000,8,2,257,1,0,0,0,1,0,0.35,0.00,0.35,0.35,0.35,1.4,1.4,0.1,0.47,0.03,0.51,0.47,0.51,Matches
19,20,Fatai Alashe,us USA,"MF,DF",FC Cincinnati,25,1993,11,4,438,1,0,0,0,2,0,0.21,0.00,0.21,0.21,0.21,0.5,0.5,0.0,0.10,0.00,0.10,0.10,0.10,Matches
20,21,Nazmi Albadawi,ps PLE,MF,FC Cincinnati,27,1991,1,0,10,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
21,22,Romain Alessandrini,fr FRA,FW,LA Galaxy,29,1989,5,5,277,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.17,0.10,0.28,0.17,0.28,Matches
22,23,Eric Alexander,us USA,"MF,FW",FC Cincinnati,30,1988,6,4,313,0,1,0,0,0,0,0.00,0.29,0.29,0.00,0.29,0.0,0.0,0.3,0.00,0.08,0.08,0.00,0.08,Matches
23,24,Osvaldo Alonso,cu CUB,MF,Minnesota,33,1985,27,27,2365,2,0,0,0,4,0,0.08,0.00,0.08,0.08,0.08,0.5,0.5,0.8,0.02,0.03,0.05,0.02,0.05,Matches
24,25,Jozy Altidore,us USA,FW,Toronto FC,29,1989,22,18,1688,11,5,0,0,4,0,0.59,0.27,0.85,0.59,0.85,8.8,8.8,2.8,0.47,0.15,0.62,0.47,0.62,Matches
25,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
26,26,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,16,2002,14,4,523,0,3,0,0,2,1,0.00,0.52,0.52,0.00,0.52,0.5,0.5,1.0,0.09,0.17,0.26,0.09,0.26,Matches
27,27,Fabio Álvarez,ar ARG,"MF,FW",LA Galaxy,26,1993,18,16,1260,3,4,0,0,5,0,0.21,0.29,0.50,0.21,0.50,2.6,2.6,2.1,0.18,0.15,0.34,0.18,0.34,Matches
28,28,Quincy Amarikwa,us USA,FW,D.C. United,31,1987,23,3,429,1,0,0,0,3,0,0.21,0.00,0.21,0.21,0.21,1.3,1.3,0.5,0.27,0.11,0.38,0.27,0.38,Matches
29,29,Frankie Amaya,us USA,MF,FC Cincinnati,18,2000,19,15,1238,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,1.5,0.05,0.11,0.15,0.05,0.15,Matches
30,30,Mikey Ambrose,us USA,DF,Atlanta,25,1993,4,3,266,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.03,0.03,0.00,0.03,Matches
31,31,Michael Amir Murillo,pa PAN,DF,NY Red Bulls,22,1996,22,18,1696,1,3,0,0,6,1,0.05,0.16,0.21,0.05,0.21,0.4,0.4,2.0,0.02,0.11,0.13,0.02,0.13,Matches
32,32,Sebastian Anderson,us USA,"DF,FW",Colorado,16,2002,6,5,314,1,0,0,0,1,1,0.29,0.00,0.29,0.29,0.29,0.0,0.0,0.1,0.01,0.04,0.04,0.01,0.04,Matches
33,33,Jalil Anibaba,us USA,DF,New England,30,1988,22,19,1764,1,0,0,0,4,1,0.05,0.00,0.05,0.05,0.05,0.4,0.4,0.2,0.02,0.01,0.03,0.02,0.03,Matches
34,34,Uriel Antuna,mx MEX,"FW,MF",LA Galaxy,21,1997,31,29,2413,6,5,0,0,1,0,0.22,0.19,0.41,0.22,0.41,8.8,8.8,4.3,0.33,0.16,0.49,0.33,0.49,Matches
35,35,Pablo Aránguiz,cl CHI,"MF,FW",FC Dallas,21,1997,11,7,561,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.1,1.1,0.3,0.18,0.05,0.23,0.18,0.23,Matches
36,36,Julian Araujo,us USA,"DF,FW",LA Galaxy,17,2001,18,10,895,0,1,0,0,3,0,0.00,0.10,0.10,0.00,0.10,0.5,0.5,0.5,0.06,0.05,0.11,0.06,0.11,Matches
37,37,Joaquín Ardaiz,uy URU,FW,Vancouver,20,1999,16,3,415,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,1.7,1.7,0.1,0.36,0.01,0.38,0.36,0.38,Matches
38,38,Luis Argudo,us USA,"FW,MF",Columbus,23,1995,21,10,1065,1,3,0,0,1,0,0.08,0.25,0.34,0.08,0.34,1.8,1.8,1.3,0.15,0.11,0.26,0.15,0.26,Matches
39,39,Xavier Arreaga,ec ECU,DF,Seattle,24,1994,14,12,1119,0,0,0,0,5,2,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.01,0.00,0.01,0.01,0.01,Matches
40,40,Luis Arriaga,us USA,"DF,MF",Real Salt Lake,18,2001,2,0,5,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
41,41,Paul Arriola,us USA,"FW,MF",D.C. United,23,1995,29,28,2425,6,2,0,0,6,1,0.22,0.07,0.30,0.22,0.30,5.9,5.9,3.4,0.22,0.13,0.34,0.22,0.34,Matches
42,42,Artur,br BRA,MF,Columbus,22,1996,30,28,2450,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.02,0.02,0.03,0.02,0.03,Matches
43,43,Carlos Ascues,pe PER,"MF,DF",Orlando City,26,1992,17,14,1111,1,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,1.3,1.3,0.9,0.11,0.07,0.18,0.11,0.18,Matches
44,44,Dairon Asprilla,co COL,"FW,MF",Portland,26,1992,13,7,564,2,0,1,1,1,1,0.32,0.00,0.32,0.16,0.16,3.3,2.6,0.5,0.53,0.08,0.61,0.41,0.49,Matches
45,45,Jeff Attinella,us USA,GK,Portland,30,1988,10,10,900,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
46,46,Francis Atuahene,gh GHA,FW,FC Dallas,22,1996,1,0,27,1,0,0,0,0,0,3.33,0.00,3.33,3.33,3.33,0.1,0.1,0.0,0.30,0.00,0.30,0.30,0.30,Matches
47,47,Eduard Atuesta,co COL,MF,Los Angeles FC,21,1997,30,30,2631,3,8,0,0,8,0,0.10,0.27,0.38,0.10,0.38,2.6,2.6,4.7,0.09,0.16,0.25,0.09,0.25,Matches
48,48,Auro,br BRA,DF,Toronto FC,23,1996,23,22,1883,0,3,0,0,0,0,0.00,0.14,0.14,0.00,0.14,0.2,0.2,3.0,0.01,0.15,0.16,0.01,0.16,Matches
49,49,Micheal Azira,ug UGA,MF,Chicago,31,1987,4,2,218,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.12,0.05,0.17,0.12,0.17,Matches
50,50,Micheal Azira,ug UGA,MF,Montreal,31,1987,19,16,1444,0,1,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.6,0.6,0.7,0.04,0.04,0.08,0.04,0.08,Matches
51,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
52,51,Dominique Badji,sn SEN,FW,FC Dallas,26,1992,28,24,2029,6,3,0,0,6,0,0.27,0.13,0.40,0.27,0.40,7.6,7.6,2.2,0.34,0.10,0.43,0.34,0.43,Matches
53,52,Theo Bair,ca CAN,"FW,MF",Vancouver,19,1999,17,10,822,2,2,0,0,1,0,0.22,0.22,0.44,0.22,0.44,1.8,1.8,0.7,0.20,0.07,0.27,0.20,0.27,Matches
54,53,Corey Baird,us USA,"FW,MF",Real Salt Lake,23,1996,31,23,2098,5,3,0,0,6,0,0.21,0.13,0.34,0.21,0.34,3.6,3.6,1.9,0.15,0.08,0.23,0.15,0.23,Matches
55,54,Lass Bangoura,gn GUI,FW,Vancouver,26,1992,17,7,634,1,1,0,0,1,0,0.14,0.14,0.28,0.14,0.28,0.3,0.3,0.8,0.04,0.11,0.15,0.04,0.15,Matches
56,55,Botond Baráth,hu HUN,DF,Sporting KC,26,1992,21,20,1748,1,0,0,0,6,0,0.05,0.00,0.05,0.05,0.05,1.1,1.1,0.4,0.06,0.02,0.08,0.06,0.08,Matches
57,56,Ezequiel Barco,ar ARG,"FW,MF",Atlanta,19,1999,15,11,975,4,2,0,0,1,0,0.37,0.18,0.55,0.37,0.55,3.2,3.2,2.5,0.30,0.23,0.53,0.30,0.53,Matches
58,57,Tom Barlow,us USA,FW,NY Red Bulls,23,1995,12,8,602,3,0,0,0,0,0,0.45,0.00,0.45,0.45,0.45,3.2,3.2,0.4,0.49,0.06,0.54,0.49,0.54,Matches
59,58,Michael Barrios,co COL,FW,FC Dallas,27,1991,32,31,2724,5,13,0,0,6,0,0.17,0.43,0.59,0.17,0.59,5.3,5.3,10.8,0.18,0.36,0.53,0.18,0.53,Matches
60,59,Cole Bassett,us USA,MF,Colorado,17,2001,20,14,1059,2,1,0,0,1,0,0.17,0.08,0.25,0.17,0.25,1.9,1.9,0.9,0.16,0.07,0.23,0.16,0.23,Matches
61,60,Clement Bayiha,ca CAN,"FW,MF",Montreal,19,1999,11,4,473,0,1,0,0,0,0,0.00,0.19,0.19,0.00,0.19,0.2,0.2,0.5,0.03,0.10,0.13,0.03,0.13,Matches
62,61,DaMarcus Beasley,us USA,DF,Houston,36,1982,12,12,1030,0,2,0,0,0,0,0.00,0.17,0.17,0.00,0.17,0.1,0.1,0.8,0.01,0.07,0.08,0.01,0.08,Matches
63,62,Kyle Beckerman,us USA,MF,Real Salt Lake,36,1982,25,24,2127,0,4,0,0,9,0,0.00,0.17,0.17,0.00,0.17,0.5,0.5,0.4,0.02,0.02,0.04,0.02,0.04,Matches
64,63,Alejandro Bedoya,us USA,MF,Philadelphia,31,1987,32,32,2833,4,3,0,0,6,0,0.13,0.10,0.22,0.13,0.22,2.1,2.1,3.1,0.07,0.10,0.17,0.07,0.17,Matches
65,64,Dan Bedoya,co COL,FW,NYCFC,24,1994,1,0,1,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
66,65,Steven Beitashour,ir IRN,DF,Los Angeles FC,31,1987,25,24,1875,1,2,0,0,3,0,0.05,0.10,0.14,0.05,0.14,1.1,1.1,1.6,0.05,0.08,0.13,0.05,0.13,Matches
67,66,Joe Bendik,us USA,GK,Columbus,29,1989,6,6,540,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
68,67,Nicolas Benezet,fr FRA,"FW,MF",Toronto FC,27,1991,8,5,438,2,0,0,0,2,0,0.41,0.00,0.41,0.41,0.41,2.2,2.2,0.2,0.45,0.04,0.50,0.45,0.50,Matches
69,68,Leonardo Bertone,ch SUI,MF,FC Cincinnati,24,1994,25,22,2056,1,1,0,0,9,0,0.04,0.04,0.09,0.04,0.09,0.9,0.9,1.5,0.04,0.07,0.11,0.04,0.11,Matches
70,69,Matt Besler,us USA,DF,Sporting KC,31,1987,27,25,2112,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.00,0.02,0.02,0.00,0.02,Matches
71,70,Nick Besler,us USA,MF,Real Salt Lake,25,1993,17,7,734,1,1,0,0,4,0,0.12,0.12,0.25,0.12,0.25,0.9,0.9,0.7,0.11,0.08,0.19,0.11,0.19,Matches
72,71,Vincent Bezecourt,fr FRA,MF,NY Red Bulls,25,1993,8,7,449,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.3,0.06,0.07,0.13,0.06,0.13,Matches
73,72,David Bingham,us USA,GK,LA Galaxy,29,1989,33,33,2970,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.00,0.00,0.00,0.00,Matches
74,73,Steve Birnbaum,us USA,DF,D.C. United,28,1991,34,34,3031,1,0,0,0,5,0,0.03,0.00,0.03,0.03,0.03,2.1,2.1,0.5,0.06,0.01,0.07,0.06,0.07,Matches
75,74,José Bizama,cl CHI,DF,Houston,24,1994,5,4,354,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.02,0.00,0.02,0.02,0.02,Matches
76,75,Tristan Blackmon,us USA,DF,Los Angeles FC,22,1996,18,15,1378,1,4,0,0,3,0,0.07,0.26,0.33,0.07,0.33,0.7,0.7,1.7,0.05,0.11,0.16,0.05,0.16,Matches
77,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
78,76,Andre Blake,jm JAM,GK,Philadelphia,28,1990,26,26,2303,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
79,77,Sebastián Blanco,ar ARG,"FW,MF",Portland,30,1988,30,28,2507,6,10,0,0,8,0,0.22,0.36,0.57,0.22,0.57,6.6,6.6,9.6,0.24,0.34,0.58,0.24,0.58,Matches
80,78,Latif Blessing,gh GHA,MF,Los Angeles FC,22,1996,34,29,2691,6,3,0,0,7,0,0.20,0.10,0.30,0.20,0.30,6.1,6.1,5.9,0.20,0.20,0.40,0.20,0.40,Matches
81,79,Johan Blomberg,se SWE,"MF,FW",Colorado,31,1987,3,1,88,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.06,0.00,0.06,0.06,0.06,Matches
82,80,Emmanuel Boateng,gh GHA,"FW,MF",LA Galaxy,25,1994,21,7,887,1,0,0,0,1,0,0.10,0.00,0.10,0.10,0.10,1.8,1.8,1.8,0.18,0.18,0.37,0.18,0.37,Matches
83,81,Emmanuel Boateng,gh GHA,"FW,MF",D.C. United,25,1994,3,0,54,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.06,0.06,0.00,0.06,Matches
84,82,Corben Bone,us USA,"MF,FW",FC Cincinnati,30,1988,6,2,187,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.5,0.00,0.24,0.24,0.00,0.24,Matches
85,83,Alex Bono,us USA,GK,Toronto FC,24,1994,7,6,556,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
86,84,Jonathan Bornstein,us USA,DF,Chicago,34,1984,11,11,911,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.01,0.02,0.02,0.01,0.02,Matches
87,85,Gustavo Bou,ar ARG,"FW,MF",New England,28,1990,14,13,1152,9,1,0,0,1,0,0.70,0.08,0.78,0.70,0.78,4.1,4.1,1.2,0.32,0.09,0.41,0.32,0.41,Matches
88,86,Michael Boxall,nz NZL,DF,Minnesota,30,1988,29,29,2576,2,0,0,0,3,0,0.07,0.00,0.07,0.07,0.07,1.2,1.2,0.4,0.04,0.02,0.06,0.04,0.06,Matches
89,87,Terrence Boyd,us USA,"FW,MF",Toronto FC,27,1991,11,3,345,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.10,0.00,0.10,0.10,0.10,Matches
90,88,Michael Bradley,us USA,MF,Toronto FC,31,1987,27,26,2373,3,1,0,0,4,0,0.11,0.04,0.15,0.11,0.15,2.3,2.3,1.2,0.09,0.04,0.13,0.09,0.13,Matches
91,89,Zachary Brault-Guillard,ca CAN,DF,Montreal,20,1998,13,9,874,0,1,0,0,1,0,0.00,0.10,0.10,0.00,0.10,0.6,0.6,1.5,0.06,0.15,0.21,0.06,0.21,Matches
92,90,Bressan,br BRA,DF,FC Dallas,26,1993,18,12,1120,1,1,0,0,1,0,0.08,0.08,0.16,0.08,0.16,0.3,0.3,0.5,0.03,0.04,0.07,0.03,0.07,Matches
93,91,Shaft Brewer,us USA,DF,Los Angeles FC,19,1999,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.00,0.01,0.01,0.01,Matches
94,92,Frédéric Brillant,fr FRA,DF,D.C. United,33,1985,34,33,2959,2,1,0,0,5,0,0.06,0.03,0.09,0.06,0.09,2.8,2.8,0.6,0.09,0.02,0.11,0.09,0.11,Matches
95,93,Brandt Bronico,us USA,"MF,DF",Chicago,23,1995,29,20,1866,1,2,0,0,2,0,0.05,0.10,0.14,0.05,0.14,0.6,0.6,1.9,0.03,0.09,0.12,0.03,0.12,Matches
96,94,Omar Browne,pa PAN,"FW,MF",Montreal,24,1994,10,5,564,2,1,0,0,1,0,0.32,0.16,0.48,0.32,0.48,1.3,1.3,1.1,0.20,0.18,0.38,0.20,0.38,Matches
97,95,Will Bruin,us USA,FW,Seattle,29,1989,9,4,429,2,1,0,0,1,0,0.42,0.21,0.63,0.42,0.63,1.4,1.4,0.0,0.29,0.01,0.30,0.29,0.30,Matches
98,96,Tajon Buchanan,ca CAN,MF,New England,19,1999,10,4,392,0,2,0,0,0,0,0.00,0.46,0.46,0.00,0.46,0.8,0.8,1.3,0.19,0.29,0.47,0.19,0.47,Matches
99,97,Rece Buckmaster,us USA,DF,NY Red Bulls,22,1996,6,6,540,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.02,0.06,0.07,0.02,0.07,Matches
100,98,Teal Bunbury,us USA,"FW,MF",New England,28,1990,32,25,2189,6,2,0,0,2,0,0.25,0.08,0.33,0.25,0.33,6.5,6.5,1.6,0.27,0.07,0.33,0.27,0.33,Matches
101,99,Cory Burke,jm JAM,FW,Philadelphia,27,1991,7,5,490,2,0,0,0,2,0,0.37,0.00,0.37,0.37,0.37,1.8,1.1,0.3,0.32,0.06,0.39,0.20,0.27,Matches
102,100,Evan Bush,us USA,GK,Montreal,32,1986,32,32,2880,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
103,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
104,101,Gianluca Busio,us USA,MF,Sporting KC,16,2002,22,10,928,3,1,0,0,1,0,0.29,0.10,0.39,0.29,0.39,4.2,4.0,0.7,0.41,0.07,0.48,0.39,0.46,Matches
105,102,Handwalla Bwana,ae UAE,FW,Seattle,21,1997,15,6,572,1,1,0,0,1,0,0.16,0.16,0.31,0.16,0.31,0.9,0.9,1.3,0.13,0.21,0.34,0.13,0.34,Matches
106,103,Brandon Bye,us USA,DF,New England,23,1995,30,30,2655,2,2,0,0,6,1,0.07,0.07,0.14,0.07,0.14,1.6,1.6,2.7,0.05,0.09,0.14,0.05,0.14,Matches
107,104,Víctor Cabrera,ar ARG,DF,Montreal,25,1993,16,13,1180,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.1,0.02,0.00,0.03,0.02,0.03,Matches
108,105,Luís Caicedo,co COL,MF,New England,22,1996,31,27,2354,0,0,1,1,5,0,0.00,0.00,0.00,-0.04,-0.04,1.5,0.7,1.0,0.06,0.04,0.09,0.03,0.06,Matches
109,106,Scott Caldwell,us USA,MF,New England,27,1991,20,12,1082,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.01,0.03,0.03,0.01,0.03,Matches
110,107,Alexander Callens,pe PER,DF,NYCFC,26,1992,24,24,2160,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.1,0.03,0.01,0.04,0.03,0.04,Matches
