,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A,G-PK,G+A-PK,xG,npxG,xA,xG.1,xA.1,xG+xA,npxG.1,npxG+xA,Matches
111,108,Eric Calvillo,us USA,"MF,DF",San Jose,21,1998,2,1,74,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
112,109,Francisco Calvo,cr CRC,DF,Chicago,26,1992,23,21,1936,3,1,0,0,4,0,0.14,0.05,0.19,0.14,0.19,2.8,2.8,1.2,0.13,0.06,0.19,0.13,0.19,Matches
113,110,Francisco Calvo,cr CRC,DF,Minnesota,26,1992,7,7,629,1,0,0,0,4,1,0.14,0.00,0.14,0.14,0.14,0.8,0.8,0.2,0.12,0.03,0.15,0.12,0.15,Matches
114,111,Rudy Camacho,fr FRA,DF,Montreal,27,1991,17,16,1463,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,1.1,1.1,0.3,0.07,0.02,0.08,0.07,0.08,Matches
115,112,Jonathan Campbell,us USA,DF,Seattle,25,1993,4,4,360,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
116,113,Diego Campos,cr CRC,DF,Chicago,23,1995,10,5,440,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.05,0.06,0.00,0.06,Matches
117,114,Reggie Cannon,us USA,DF,FC Dallas,20,1998,28,26,2268,1,1,0,0,7,0,0.04,0.04,0.08,0.04,0.08,0.5,0.5,1.7,0.02,0.07,0.09,0.02,0.09,Matches
118,115,Russell Canouse,us USA,"MF,DF",D.C. United,23,1995,26,25,2146,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.3,0.02,0.01,0.04,0.02,0.04,Matches
119,116,Andrew Carleton,us USA,"MF,FW",Atlanta,18,2000,3,0,67,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
120,117,Servando Carrasco,us USA,MF,LA Galaxy,30,1988,16,3,396,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.00,0.04,0.04,0.00,0.04,Matches
121,118,Julio Cascante,cr CRC,DF,Portland,25,1993,22,16,1442,0,1,0,0,4,1,0.00,0.06,0.06,0.00,0.06,0.8,0.8,0.8,0.05,0.05,0.10,0.05,0.10,Matches
122,119,Cristian Cásseres,ve VEN,MF,NY Red Bulls,19,2000,23,21,1797,3,3,0,0,5,0,0.15,0.15,0.30,0.15,0.30,1.7,1.7,2.0,0.09,0.10,0.19,0.09,0.19,Matches
123,120,Valentín Castellanos,ar ARG,FW,NYCFC,20,1998,30,23,2048,11,6,0,0,7,0,0.48,0.26,0.75,0.48,0.75,6.7,6.7,3.0,0.31,0.14,0.44,0.31,0.44,Matches
124,121,Edgar Castillo,us USA,DF,New England,32,1986,20,20,1689,0,5,0,0,2,0,0.00,0.27,0.27,0.00,0.27,0.6,0.6,2.1,0.03,0.11,0.14,0.03,0.14,Matches
125,122,Emanuel Cecchini,ar ARG,MF,Seattle,22,1996,4,1,157,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.06,0.07,0.12,0.06,0.12,Matches
126,123,Darwin Cerén,sv SLV,MF,Houston,29,1989,13,5,536,1,0,0,0,1,0,0.17,0.00,0.17,0.17,0.17,0.2,0.2,0.3,0.03,0.05,0.08,0.03,0.08,Matches
127,124,Edwin Cerrillo,us USA,MF,FC Dallas,18,2000,12,11,916,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.01,0.01,0.03,0.01,0.03,Matches
128,125,Thomás Chacón,uy URU,FW,Minnesota,18,2000,2,1,85,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.0,0.25,0.04,0.28,0.25,0.28,Matches
129,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
130,126,Maxime Chanot,lu LUX,DF,NYCFC,29,1989,31,31,2790,0,0,0,0,11,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.2,0.02,0.01,0.03,0.02,0.03,Matches
131,127,Jay Chapman,ca CAN,"MF,FW",Toronto FC,25,1994,17,5,529,2,2,0,0,1,0,0.34,0.34,0.68,0.34,0.68,0.6,0.6,1.4,0.11,0.23,0.34,0.11,0.34,Matches
132,128,Diego Chará,co COL,MF,Portland,32,1986,30,29,2606,0,1,0,0,12,1,0.00,0.03,0.03,0.00,0.03,1.3,1.3,1.7,0.05,0.06,0.11,0.05,0.11,Matches
133,129,Michaell Chirinos,hn HON,"MF,FW",Vancouver,23,1995,7,4,412,1,1,0,0,2,0,0.22,0.22,0.44,0.22,0.44,1.5,1.5,0.2,0.32,0.05,0.37,0.32,0.37,Matches
134,130,Mathieu Choiniere,ca CAN,"FW,MF",Montreal,19,1999,17,6,685,0,1,0,0,1,0,0.00,0.13,0.13,0.00,0.13,0.4,0.4,0.4,0.06,0.05,0.11,0.06,0.11,Matches
135,131,Laurent Ciman,be BEL,DF,Toronto FC,33,1985,17,14,1264,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.4,0.03,0.03,0.06,0.03,0.06,Matches
136,132,Ricardo Clark,us USA,MF,Columbus,35,1983,7,4,361,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.05,0.03,0.09,0.05,0.09,Matches
137,133,Steve Clark,us USA,GK,Portland,32,1986,24,24,2160,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
138,134,Aurélien Collin,fr FRA,DF,Philadelphia,32,1986,6,6,529,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.7,0.7,0.0,0.11,0.00,0.11,0.11,0.11,Matches
139,135,Josué Colmán,py PAR,"FW,MF",Orlando City,20,1998,8,1,160,0,1,0,0,0,0,0.00,0.56,0.56,0.00,0.56,0.1,0.1,0.6,0.08,0.34,0.42,0.08,0.42,Matches
140,136,Tomás Conechny,ar ARG,"FW,MF",Portland,20,1998,16,2,356,1,2,0,0,2,0,0.25,0.51,0.76,0.25,0.76,1.3,1.3,1.6,0.33,0.39,0.72,0.33,0.72,Matches
141,137,Derek Cornelius,ca CAN,DF,Vancouver,21,1997,17,16,1425,1,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,0.8,0.8,0.2,0.05,0.01,0.06,0.05,0.06,Matches
142,138,Joe Corona,us USA,MF,LA Galaxy,28,1990,31,26,2323,1,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,1.3,1.3,1.7,0.05,0.06,0.11,0.05,0.11,Matches
143,139,Carlos Coronel,br BRA,GK,Philadelphia,22,1996,4,3,320,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
144,140,Warren Creavalle,us USA,MF,Philadelphia,28,1990,13,5,369,0,1,0,0,0,0,0.00,0.24,0.24,0.00,0.24,0.0,0.0,0.7,0.01,0.16,0.17,0.01,0.17,Matches
145,141,Maxime Crépeau,ca CAN,GK,Vancouver,24,1994,26,26,2340,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
146,142,Alex Crognale,us USA,DF,Columbus,24,1994,12,9,884,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,0.10,0.00,0.10,0.10,0.10,Matches
147,143,Yohan Croizet,fr FRA,"FW,DF",Sporting KC,26,1992,20,12,1092,3,1,0,0,4,0,0.25,0.08,0.33,0.25,0.33,2.2,2.2,0.7,0.18,0.06,0.24,0.18,0.24,Matches
148,144,Cody Cropper,us USA,GK,New England,25,1993,7,7,630,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
149,145,Allan Cruz,cr CRC,"MF,FW",FC Cincinnati,22,1996,22,21,1734,7,0,0,0,5,0,0.36,0.00,0.36,0.36,0.36,4.6,4.6,0.9,0.24,0.05,0.28,0.24,0.28,Matches
150,146,Emil Cuello,us USA,"MF,FW",LA Galaxy,21,1997,9,2,195,0,2,0,0,1,0,0.00,0.92,0.92,0.00,0.92,0.2,0.2,0.9,0.12,0.39,0.51,0.12,0.51,Matches
151,147,Harold Cummings,pa PAN,DF,San Jose,26,1992,16,16,1389,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.3,0.00,0.02,0.02,0.00,0.02,Matches
152,148,Rashawn Dally,jm JAM,FW,FC Cincinnati,22,1997,12,8,544,1,0,0,0,0,0,0.17,0.00,0.17,0.17,0.17,1.1,1.1,0.5,0.18,0.08,0.26,0.18,0.26,Matches
153,149,Mario Daniel Vega,ar ARG,GK,San Jose,34,1984,34,34,3060,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
154,150,Abu Danladi,gh GHA,"FW,MF",Minnesota,23,1995,24,4,718,2,2,0,0,3,0,0.25,0.25,0.50,0.25,0.50,2.2,2.2,1.5,0.27,0.19,0.46,0.27,0.46,Matches
155,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
156,151,Juan David Cabezas,co COL,MF,Houston,27,1991,15,5,538,1,0,0,0,4,0,0.17,0.00,0.17,0.17,0.17,0.3,0.3,0.0,0.05,0.01,0.05,0.05,0.05,Matches
157,152,Sean Davis,us USA,MF,NY Red Bulls,25,1993,30,28,2557,0,1,0,0,0,0,0.00,0.04,0.04,0.00,0.04,0.6,0.6,1.6,0.02,0.06,0.08,0.02,0.08,Matches
158,153,Alex DeJohn,us USA,DF,Orlando City,27,1991,6,6,403,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.1,0.02,0.02,0.04,0.02,0.04,Matches
159,154,A.J. DeLaGarza,gu GUM,DF,Houston,31,1987,23,23,1991,0,1,0,0,5,0,0.00,0.05,0.05,0.00,0.05,0.3,0.3,0.5,0.01,0.02,0.04,0.01,0.04,Matches
160,155,Antonio Delamea Mlinar,si SVN,DF,New England,27,1991,17,16,1366,2,1,0,0,7,1,0.13,0.07,0.20,0.13,0.20,1.2,1.2,0.1,0.08,0.00,0.08,0.08,0.08,Matches
161,156,Jordy Delem,mq MTQ,MF,Seattle,25,1993,23,17,1437,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.0,0.03,0.00,0.03,0.03,0.03,Matches
162,157,Nick DeLeon,us USA,"MF,FW",Toronto FC,28,1990,32,23,1853,6,1,0,0,2,0,0.29,0.05,0.34,0.29,0.34,4.3,4.3,2.6,0.21,0.12,0.33,0.21,0.33,Matches
163,158,Marky Delgado,us USA,MF,Toronto FC,23,1995,30,29,2548,2,5,0,0,4,0,0.07,0.18,0.25,0.07,0.25,2.6,2.6,3.8,0.09,0.13,0.22,0.09,0.22,Matches
164,159,Mathieu Deplagne,fr FRA,DF,FC Cincinnati,27,1991,33,33,2875,1,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,2.4,2.4,1.0,0.07,0.03,0.11,0.07,0.11,Matches
165,160,Maikel van der Werff,nl NED,DF,FC Cincinnati,29,1989,11,11,990,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.9,0.9,0.2,0.08,0.02,0.10,0.08,0.10,Matches
166,161,Tyler Deric,us USA,GK,Houston,30,1988,7,7,630,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
167,162,Justin Dhillon,us USA,FW,Seattle,23,1995,5,3,264,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.8,0.8,0.5,0.28,0.17,0.45,0.28,0.45,Matches
168,163,Zakaria Diallo,fr FRA,DF,Montreal,32,1986,24,23,2036,3,2,0,0,2,1,0.13,0.09,0.22,0.13,0.22,1.8,1.8,0.7,0.08,0.03,0.11,0.08,0.11,Matches
169,164,Luis Díaz,cr CRC,"FW,MF",Columbus,20,1998,13,9,796,2,3,0,0,1,0,0.23,0.34,0.57,0.23,0.57,0.9,0.9,2.2,0.10,0.24,0.35,0.10,0.35,Matches
170,165,Eric Dick,us USA,GK,Sporting KC,24,1994,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
171,166,Claude Dielna,GPE,DF,Portland,31,1987,15,12,1087,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.1,0.09,0.01,0.09,0.09,0.09,Matches
172,167,Adama Diomande,no NOR,FW,Los Angeles FC,28,1990,25,15,1436,8,5,0,0,1,0,0.50,0.31,0.81,0.50,0.81,9.3,9.3,3.3,0.58,0.21,0.79,0.58,0.79,Matches
173,168,Clément Diop,sn SEN,GK,Montreal,25,1993,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
174,169,Griffin Dorsey,us USA,DF,Toronto FC,19,1999,1,0,4,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
175,170,Jonathan dos Santos,mx MEX,MF,LA Galaxy,28,1990,29,29,2542,2,3,1,1,5,0,0.07,0.11,0.18,0.04,0.14,1.2,0.4,3.8,0.04,0.13,0.18,0.01,0.15,Matches
176,171,Hassani Dotson,us USA,"DF,MF",Minnesota,21,1997,24,15,1410,4,0,0,0,2,0,0.26,0.00,0.26,0.26,0.26,0.6,0.6,0.4,0.04,0.02,0.06,0.04,0.06,Matches
177,172,Kyle Duncan,us USA,DF,NY Red Bulls,21,1997,13,13,1078,1,2,0,0,4,0,0.08,0.17,0.25,0.08,0.25,0.7,0.7,1.2,0.06,0.10,0.15,0.06,0.15,Matches
178,173,Chris Durkin,us USA,MF,D.C. United,18,2000,13,7,640,1,0,0,0,1,0,0.14,0.00,0.14,0.14,0.14,0.1,0.1,0.3,0.02,0.05,0.06,0.02,0.06,Matches
179,174,Chris Duvall,us USA,DF,Houston,27,1991,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
180,175,Dom Dwyer,us USA,FW,Orlando City,28,1990,27,16,1616,7,3,0,0,6,1,0.39,0.17,0.56,0.39,0.56,8.8,8.8,1.4,0.49,0.08,0.57,0.49,0.57,Matches
181,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
182,176,Jeremy Ebobisse,us USA,FW,Portland,21,1997,34,25,2307,11,1,0,0,3,0,0.43,0.04,0.47,0.43,0.47,10.4,10.4,2.0,0.41,0.08,0.49,0.41,0.49,Matches
183,177,Raheem Edwards,ca CAN,DF,Chicago,23,1995,4,2,245,1,0,0,0,2,0,0.37,0.00,0.37,0.37,0.37,0.6,0.6,0.3,0.24,0.09,0.33,0.24,0.33,Matches
184,178,Alberth Elis,hn HON,"FW,MF",Houston,22,1996,26,22,1923,9,8,2,2,6,1,0.42,0.37,0.80,0.33,0.70,10.0,8.5,7.0,0.47,0.33,0.80,0.40,0.73,Matches
185,179,Jack Elliott,eng ENG,DF,Philadelphia,23,1995,34,34,3060,2,0,0,0,4,0,0.06,0.00,0.06,0.06,0.06,2.7,2.7,0.8,0.08,0.02,0.10,0.08,0.10,Matches
186,180,Tsubasa Endoh,jp JPN,"FW,MF",Toronto FC,25,1993,13,10,873,3,2,0,0,1,0,0.31,0.21,0.52,0.31,0.52,1.7,1.7,1.2,0.18,0.12,0.30,0.18,0.30,Matches
187,181,Marcus Epps,us USA,"MF,DF",NY Red Bulls,24,1995,3,1,110,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.04,0.00,0.04,0.04,0.04,Matches
188,182,Jon Erice,es ESP,MF,Vancouver,32,1986,21,21,1747,0,1,0,0,2,0,0.00,0.05,0.05,0.00,0.05,0.2,0.2,0.8,0.01,0.04,0.05,0.01,0.05,Matches
189,183,Magnus Eriksson,se SWE,MF,San Jose,28,1990,32,32,2802,6,7,1,1,5,0,0.19,0.22,0.42,0.16,0.39,5.7,4.9,7.6,0.18,0.24,0.43,0.16,0.40,Matches
190,184,Franco Escobar,ar ARG,DF,Atlanta,23,1995,25,22,2013,1,2,0,0,9,0,0.04,0.09,0.13,0.04,0.13,0.8,0.8,1.8,0.04,0.08,0.12,0.04,0.12,Matches
191,185,Cristian Espinoza,ar ARG,"FW,MF",San Jose,23,1995,30,30,2524,2,10,0,0,8,2,0.07,0.36,0.43,0.07,0.43,4.2,4.2,9.7,0.15,0.35,0.50,0.15,0.50,Matches
192,186,Roger Espinoza,hn HON,MF,Sporting KC,32,1986,16,15,1140,0,1,0,0,5,3,0.00,0.08,0.08,0.00,0.08,1.1,1.1,1.4,0.09,0.11,0.20,0.09,0.20,Matches
193,187,Derrick Etienne,ht HAI,FW,FC Cincinnati,22,1996,5,2,220,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.07,0.03,0.10,0.07,0.10,Matches
194,188,Derrick Etienne,ht HAI,"FW,MF",NY Red Bulls,22,1996,11,5,467,1,1,0,0,0,0,0.19,0.19,0.39,0.19,0.39,0.8,0.8,0.6,0.16,0.11,0.26,0.16,0.26,Matches
195,189,Marco Fabián,mx MEX,"MF,FW",Philadelphia,29,1989,23,15,1246,7,1,2,4,5,1,0.51,0.07,0.58,0.36,0.43,6.9,3.8,1.9,0.50,0.13,0.63,0.28,0.41,Matches
196,190,Fabinho,br BRA,DF,Philadelphia,33,1985,1,1,90,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.03,0.00,0.03,0.03,0.03,Matches
197,191,Diego Fagúndez,uy URU,"MF,FW",New England,23,1995,25,13,1175,2,3,0,1,2,0,0.15,0.23,0.38,0.15,0.38,2.6,1.9,1.7,0.20,0.13,0.33,0.14,0.27,Matches
198,192,Rod Fanni,fr FRA,DF,Montreal,37,1981,3,3,270,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.1,0.00,0.02,0.02,0.00,0.02,Matches
199,193,Marco Farfan,us USA,DF,Portland,20,1998,3,3,189,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.01,0.01,0.00,0.01,Matches
200,194,Andrew Farrell,us USA,DF,New England,26,1992,29,29,2602,0,1,0,0,7,0,0.00,0.03,0.03,0.00,0.03,0.1,0.1,0.5,0.00,0.02,0.02,0.00,0.02,Matches
201,195,Benny Feilhaber,us USA,MF,Sporting KC,34,1985,17,13,1100,2,1,0,0,3,0,0.16,0.08,0.25,0.16,0.25,1.6,1.6,1.6,0.13,0.13,0.26,0.13,0.26,Matches
202,196,Benny Feilhaber,us USA,MF,Colorado,34,1985,9,7,619,2,2,0,0,3,0,0.29,0.29,0.58,0.29,0.58,1.1,1.1,0.7,0.16,0.10,0.26,0.16,0.26,Matches
203,197,Felipe,br BRA,MF,Vancouver,28,1990,18,13,1142,1,0,0,0,5,0,0.08,0.00,0.08,0.08,0.08,1.2,1.2,0.6,0.09,0.05,0.14,0.09,0.14,Matches
204,198,Felipe,br BRA,MF,D.C. United,28,1990,9,9,774,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.4,0.02,0.05,0.07,0.02,0.07,Matches
205,199,Luis Felipe,br BRA,MF,San Jose,23,1996,3,0,42,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
206,200,Rolf Feltscher,ve VEN,DF,LA Galaxy,28,1990,25,25,2178,1,3,0,0,7,0,0.04,0.12,0.17,0.04,0.17,1.8,1.8,3.8,0.08,0.16,0.23,0.08,0.23,Matches
207,Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,Gls,Ast,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
208,201,Gerso Fernandes,gw GNB,"FW,MF",Sporting KC,27,1991,25,20,1745,2,6,0,0,5,0,0.10,0.31,0.41,0.10,0.41,5.4,5.4,4.6,0.28,0.24,0.52,0.28,0.52,Matches
209,202,Brian Fernández,ar ARG,FW,Portland,24,1994,19,16,1409,11,1,0,0,4,1,0.70,0.06,0.77,0.70,0.77,8.4,8.4,2.5,0.53,0.16,0.70,0.53,0.70,Matches
210,203,Omir Fernandez,us USA,"FW,MF",NY Red Bulls,19,1999,18,3,580,2,1,0,0,0,0,0.31,0.16,0.47,0.31,0.47,2.1,2.1,1.1,0.33,0.17,0.50,0.33,0.50,Matches
211,204,Juan Fernando Caicedo,co COL,FW,New England,29,1989,27,13,1073,5,2,0,0,2,0,0.42,0.17,0.59,0.42,0.59,4.9,4.9,0.9,0.41,0.07,0.48,0.41,0.48,Matches
212,205,Jesus Ferreira,us USA,"FW,MF",FC Dallas,18,2000,33,29,2439,8,5,0,0,4,0,0.30,0.18,0.48,0.30,0.48,8.9,8.9,2.5,0.33,0.09,0.42,0.33,0.42,Matches
213,206,Marcelo dos Santos Ferreira,br BRA,DF,Chicago,29,1989,16,12,1151,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.3,0.3,0.0,0.02,0.00,0.02,0.02,0.02,Matches
214,207,Carlos Fierro,mx MEX,"FW,MF",San Jose,24,1994,7,2,229,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,1.0,1.0,0.0,0.39,0.01,0.40,0.39,0.40,Matches
215,208,Maynor Figueroa,hn HON,DF,Houston,35,1983,25,25,2249,0,1,0,0,6,1,0.00,0.04,0.04,0.00,0.04,0.8,0.8,1.2,0.03,0.05,0.08,0.03,0.08,Matches
216,209,Ethan Finlay,us USA,"FW,MF",Minnesota,28,1990,33,22,1911,7,2,2,2,3,0,0.33,0.09,0.42,0.24,0.33,7.3,5.8,2.9,0.34,0.14,0.48,0.27,0.41,Matches
217,210,Andrés Flores,sv SLV,MF,Portland,28,1990,15,9,778,0,1,0,0,0,0,0.00,0.12,0.12,0.00,0.12,0.5,0.5,0.1,0.06,0.01,0.08,0.06,0.08,Matches
218,211,Anthony Fontana,us USA,"MF,FW",Philadelphia,19,1999,8,0,127,1,0,0,0,0,0,0.71,0.00,0.71,0.71,0.71,0.6,0.6,0.0,0.46,0.00,0.46,0.46,0.46,Matches
219,212,Andreu Fontàs,es ESP,DF,Sporting KC,29,1989,13,10,967,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.1,0.04,0.01,0.05,0.04,0.05,Matches
220,213,Waylon Francis,cr CRC,DF,Columbus,28,1990,17,16,1382,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.00,0.03,0.04,0.00,0.04,Matches
221,214,Przemysław Frankowski,pl POL,"FW,MF",Chicago,23,1995,31,24,2303,5,7,0,0,3,0,0.20,0.27,0.47,0.20,0.47,6.6,6.6,5.5,0.26,0.22,0.48,0.26,0.48,Matches
