,club_id,first,last,nation,position,club,age,born,mp,starts,minutes,goals,assists,pk,pkatt,yellow_card,red_card
167,21,Justin,Dhillon,us USA,FW,Seattle Sounders FC,23.0,1995.0,5.0,3.0,264.0,0.0,0.0,0.0,0.0,0.0,0.0
168,12,Zakaria,Diallo,fr FRA,DF,Montreal Impact,32.0,1986.0,24.0,23.0,2036.0,3.0,2.0,0.0,0.0,2.0,1.0
169,4,Luis,Díaz,cr CRC,"FW,MF",Columbus Crew,20.0,1998.0,13.0,9.0,796.0,2.0,3.0,0.0,0.0,1.0,0.0
170,22,Eric,Dick,us USA,GK,Sporting Kansas City,24.0,1994.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
171,18,Claude,Dielna,GPE,DF,Portland Timbers,31.0,1987.0,15.0,12.0,1087.0,0.0,0.0,0.0,0.0,3.0,0.0
172,10,Adama,Diomande,no NOR,FW,LAFC,28.0,1990.0,25.0,15.0,1436.0,8.0,5.0,0.0,0.0,1.0,0.0
173,12,Clément,Diop,sn SEN,GK,Montreal Impact,25.0,1993.0,2.0,2.0,180.0,0.0,0.0,0.0,0.0,0.0,0.0
174,23,Griffin,Dorsey,us USA,DF,Toronto FC,19.0,1999.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
175,9,Jonathan,dos Santos,mx MEX,MF,LA Galaxy,28.0,1990.0,29.0,29.0,2542.0,2.0,3.0,1.0,1.0,5.0,0.0
176,11,Hassani,Dotson,us USA,"DF,MF",Minnesota United,21.0,1997.0,24.0,15.0,1410.0,4.0,0.0,0.0,0.0,2.0,0.0
177,15,Kyle,Duncan,us USA,DF,New York Red Bulls,21.0,1997.0,13.0,13.0,1078.0,1.0,2.0,0.0,0.0,4.0,0.0
178,5,Chris,Durkin,us USA,MF,DC United,18.0,2000.0,13.0,7.0,640.0,1.0,0.0,0.0,0.0,1.0,0.0
179,8,Chris,Duvall,us USA,DF,Houston Dynamo,27.0,1991.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
180,16,Dom,Dwyer,us USA,FW,Orlando City SC,28.0,1990.0,27.0,16.0,1616.0,7.0,3.0,0.0,0.0,6.0,1.0
182,18,Jeremy,Ebobisse,us USA,FW,Portland Timbers,21.0,1997.0,34.0,25.0,2307.0,11.0,1.0,0.0,0.0,3.0,0.0
183,2,Raheem,Edwards,ca CAN,DF,Chicago Fire,23.0,1995.0,4.0,2.0,245.0,1.0,0.0,0.0,0.0,2.0,0.0
184,8,Alberth,Elis,hn HON,"FW,MF",Houston Dynamo,22.0,1996.0,26.0,22.0,1923.0,9.0,8.0,2.0,2.0,6.0,1.0
185,17,Jack,Elliott,eng ENG,DF,Philadelphia Union,23.0,1995.0,34.0,34.0,3060.0,2.0,0.0,0.0,0.0,4.0,0.0
186,23,Tsubasa,Endoh,jp JPN,"FW,MF",Toronto FC,25.0,1993.0,13.0,10.0,873.0,3.0,2.0,0.0,0.0,1.0,0.0
187,15,Marcus,Epps,us USA,"MF,DF",New York Red Bulls,24.0,1995.0,3.0,1.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0
188,24,Jon,Erice,es ESP,MF,Vancouver Whitecaps,32.0,1986.0,21.0,21.0,1747.0,0.0,1.0,0.0,0.0,2.0,0.0
189,20,Magnus,Eriksson,se SWE,MF,San Jose Earthquakes,28.0,1990.0,32.0,32.0,2802.0,6.0,7.0,1.0,1.0,5.0,0.0
190,1,Franco,Escobar,ar ARG,DF,Atlanta United,23.0,1995.0,25.0,22.0,2013.0,1.0,2.0,0.0,0.0,9.0,0.0
191,20,Cristian,Espinoza,ar ARG,"FW,MF",San Jose Earthquakes,23.0,1995.0,30.0,30.0,2524.0,2.0,10.0,0.0,0.0,8.0,2.0
192,22,Roger,Espinoza,hn HON,MF,Sporting Kansas City,32.0,1986.0,16.0,15.0,1140.0,0.0,1.0,0.0,0.0,5.0,3.0
193,6,Derrick,Etienne,ht HAI,FW,FC Cincinnati,22.0,1996.0,5.0,2.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0
194,15,Derrick,Etienne,ht HAI,"FW,MF",New York Red Bulls,22.0,1996.0,11.0,5.0,467.0,1.0,1.0,0.0,0.0,0.0,0.0
195,17,Marco,Fabián,mx MEX,"MF,FW",Philadelphia Union,29.0,1989.0,23.0,15.0,1246.0,7.0,1.0,2.0,4.0,5.0,1.0
196,17,Fabinho,,br BRA,DF,Philadelphia Union,33.0,1985.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
197,13,Diego,Fagúndez,uy URU,"MF,FW",New England Revolution,23.0,1995.0,25.0,13.0,1175.0,2.0,3.0,0.0,1.0,2.0,0.0
198,12,Rod,Fanni,fr FRA,DF,Montreal Impact,37.0,1981.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
199,18,Marco,Farfan,us USA,DF,Portland Timbers,20.0,1998.0,3.0,3.0,189.0,0.0,0.0,0.0,0.0,2.0,0.0
200,13,Andrew,Farrell,us USA,DF,New England Revolution,26.0,1992.0,29.0,29.0,2602.0,0.0,1.0,0.0,0.0,7.0,0.0
201,22,Benny,Feilhaber,us USA,MF,Sporting Kansas City,34.0,1985.0,17.0,13.0,1100.0,2.0,1.0,0.0,0.0,3.0,0.0
202,3,Benny,Feilhaber,us USA,MF,Colorado Rapids,34.0,1985.0,9.0,7.0,619.0,2.0,2.0,0.0,0.0,3.0,0.0
203,24,Felipe,,br BRA,MF,Vancouver Whitecaps,28.0,1990.0,18.0,13.0,1142.0,1.0,0.0,0.0,0.0,5.0,0.0
204,5,Felipe,,br BRA,MF,DC United,28.0,1990.0,9.0,9.0,774.0,0.0,0.0,0.0,0.0,1.0,0.0
205,20,Luis,Felipe,br BRA,MF,San Jose Earthquakes,23.0,1996.0,3.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0
206,9,Rolf,Feltscher,ve VEN,DF,LA Galaxy,28.0,1990.0,25.0,25.0,2178.0,1.0,3.0,0.0,0.0,7.0,0.0
208,22,Gerso,Fernandes,gw GNB,"FW,MF",Sporting Kansas City,27.0,1991.0,25.0,20.0,1745.0,2.0,6.0,0.0,0.0,5.0,0.0
209,18,Brian,Fernández,ar ARG,FW,Portland Timbers,24.0,1994.0,19.0,16.0,1409.0,11.0,1.0,0.0,0.0,4.0,1.0
210,15,Omir,Fernandez,us USA,"FW,MF",New York Red Bulls,19.0,1999.0,18.0,3.0,580.0,2.0,1.0,0.0,0.0,0.0,0.0
211,13,Juan,Fernando Caicedo,co COL,FW,New England Revolution,29.0,1989.0,27.0,13.0,1073.0,5.0,2.0,0.0,0.0,2.0,0.0
212,7,Jesus,Ferreira,us USA,"FW,MF",FC Dallas,18.0,2000.0,33.0,29.0,2439.0,8.0,5.0,0.0,0.0,4.0,0.0
213,2,Marcelo,dos Santos Ferreira,br BRA,DF,Chicago Fire,29.0,1989.0,16.0,12.0,1151.0,0.0,0.0,0.0,0.0,1.0,0.0
214,20,Carlos,Fierro,mx MEX,"FW,MF",San Jose Earthquakes,24.0,1994.0,7.0,2.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0
215,8,Maynor,Figueroa,hn HON,DF,Houston Dynamo,35.0,1983.0,25.0,25.0,2249.0,0.0,1.0,0.0,0.0,6.0,1.0
216,11,Ethan,Finlay,us USA,"FW,MF",Minnesota United,28.0,1990.0,33.0,22.0,1911.0,7.0,2.0,2.0,2.0,3.0,0.0
217,18,Andrés,Flores,sv SLV,MF,Portland Timbers,28.0,1990.0,15.0,9.0,778.0,0.0,1.0,0.0,0.0,0.0,0.0
218,17,Anthony,Fontana,us USA,"MF,FW",Philadelphia Union,19.0,1999.0,8.0,0.0,127.0,1.0,0.0,0.0,0.0,0.0,0.0
219,22,Andreu,Fontàs,es ESP,DF,Sporting Kansas City,29.0,1989.0,13.0,10.0,967.0,0.0,0.0,0.0,0.0,2.0,0.0
220,4,Waylon,Francis,cr CRC,DF,Columbus Crew,28.0,1990.0,17.0,16.0,1382.0,0.0,0.0,0.0,0.0,3.0,0.0
221,2,Przemysław,Frankowski,pl POL,"FW,MF",Chicago Fire,23.0,1995.0,31.0,24.0,2303.0,5.0,7.0,0.0,0.0,3.0,0.0
222,23,Liam,Fraser,ca CAN,"MF,DF",Toronto FC,20.0,1998.0,9.0,9.0,810.0,0.0,0.0,0.0,0.0,3.0,0.0
223,17,Matt,Freese,us USA,GK,Philadelphia Union,20.0,1998.0,6.0,5.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0
224,21,Stefan,Frei,ch SUI,GK,Seattle Sounders FC,32.0,1986.0,34.0,34.0,3060.0,0.0,0.0,0.0,0.0,1.0,0.0
225,8,Alejandro,Fuenmayor,ve VEN,DF,Houston Dynamo,22.0,1996.0,8.0,8.0,698.0,0.0,1.0,0.0,0.0,3.0,0.0
226,20,Gilbert,Fuentes,us USA,FW,San Jose Earthquakes,16.0,2002.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
227,17,Ray,Gaddis,us USA,DF,Philadelphia Union,29.0,1990.0,34.0,34.0,2958.0,0.0,1.0,0.0,0.0,2.0,0.0
228,2,Nicolás,Gaitán,ar ARG,MF,Chicago Fire,30.0,1988.0,27.0,25.0,2006.0,4.0,11.0,1.0,3.0,2.0,1.0
229,23,Erickson,Gallardo,ve VEN,"MF,FW",Toronto FC,25.0,1993.0,5.0,4.0,241.0,0.0,1.0,0.0,0.0,0.0,0.0
230,8,Boniek,García,hn HON,MF,Houston Dynamo,34.0,1984.0,32.0,30.0,2577.0,0.0,1.0,0.0,0.0,5.0,0.0
231,8,Kevin,Garcia,us USA,DF,Houston Dynamo,28.0,1990.0,12.0,8.0,816.0,0.0,0.0,0.0,0.0,1.0,0.0
232,6,Greg,Garza,us USA,DF,FC Cincinnati,27.0,1991.0,13.0,11.0,908.0,0.0,0.0,0.0,0.0,1.0,0.0
234,11,Chase,Gasper,us USA,DF,Minnesota United,23.0,1996.0,15.0,14.0,1293.0,0.0,0.0,0.0,0.0,7.0,1.0
235,13,Carles,Gil,es ESP,"MF,FW",New England Revolution,26.0,1992.0,34.0,34.0,3051.0,10.0,12.0,4.0,5.0,5.0,0.0
236,19,Justen,Glad,us USA,DF,Real Salt Lake,21.0,1997.0,23.0,23.0,2063.0,0.0,0.0,0.0,0.0,2.0,0.0
237,20,Aníbal,Godoy,pa PAN,MF,San Jose Earthquakes,28.0,1990.0,15.0,15.0,1343.0,0.0,1.0,0.0,0.0,8.0,0.0
238,24,Erik,Godoy,ar ARG,DF,Vancouver Whitecaps,25.0,1993.0,29.0,28.0,2597.0,1.0,1.0,0.0,0.0,6.0,0.0
239,1,Leandro,González Pirez,ar ARG,DF,Atlanta United,26.0,1992.0,31.0,31.0,2699.0,1.0,0.0,0.0,0.0,11.0,1.0
240,9,Giancarlo,González,cr CRC,DF,LA Galaxy,30.0,1988.0,20.0,15.0,1434.0,1.0,0.0,0.0,0.0,5.0,0.0
241,7,Jesse,Gonzalez,mx MEX,GK,FC Dallas,23.0,1995.0,32.0,32.0,2880.0,0.0,0.0,0.0,0.0,5.0,0.0
242,23,Omar,Gonzalez,us USA,DF,Toronto FC,30.0,1988.0,14.0,14.0,1260.0,1.0,1.0,0.0,0.0,0.0,0.0
243,11,Ján,Greguš,sk SVK,MF,Minnesota United,28.0,1991.0,30.0,30.0,2677.0,1.0,9.0,0.0,0.0,4.0,1.0
244,1,Julian,Gressel,de GER,"DF,FW",Atlanta United,25.0,1993.0,33.0,31.0,2686.0,6.0,11.0,0.0,0.0,3.0,0.0
245,7,Carlos,Gruezo,ec ECU,MF,FC Dallas,23.0,1995.0,9.0,9.0,783.0,1.0,0.0,0.0,0.0,1.0,0.0
246,22,Felipe,Gutiérrez,cl CHI,MF,Sporting Kansas City,28.0,1990.0,32.0,31.0,2716.0,12.0,1.0,5.0,6.0,11.0,0.0
247,2,Jeremiah,Gutjahr,us USA,DF,Chicago Fire,21.0,1997.0,8.0,5.0,503.0,0.0,1.0,0.0,0.0,1.0,0.0
248,6,Andrew,Gutman,us USA,DF,FC Cincinnati,22.0,1996.0,8.0,5.0,483.0,0.0,1.0,0.0,0.0,2.0,0.0
249,1,Brad,Guzan,us USA,GK,Atlanta United,34.0,1984.0,34.0,34.0,3060.0,0.0,0.0,0.0,0.0,0.0,0.0
250,18,David,Guzmán,cr CRC,MF,Portland Timbers,28.0,1990.0,5.0,4.0,348.0,0.0,1.0,0.0,0.0,0.0,0.0
251,4,David,Guzmán,cr CRC,MF,Columbus Crew,28.0,1990.0,16.0,13.0,1137.0,0.0,0.0,0.0,0.0,6.0,0.0
252,7,Edwin,Gyasi,gh GHA,FW,FC Dallas,27.0,1991.0,4.0,1.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0
253,6,Joe,Gyau,us USA,"FW,MF",FC Cincinnati,26.0,1992.0,8.0,5.0,461.0,0.0,0.0,0.0,0.0,0.0,1.0
254,14,Justin,Haak,us USA,MF,New York City FC,17.0,2001.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
255,6,Nick,Hagglund,us USA,DF,FC Cincinnati,26.0,1992.0,22.0,20.0,1803.0,0.0,0.0,0.0,0.0,2.0,0.0
256,8,Marlon,Hairston,us USA,FW,Houston Dynamo,24.0,1994.0,12.0,5.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0
257,20,Siad,Haji,so SOM,"DF,MF",San Jose Earthquakes,19.0,1999.0,4.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
258,10,Niko,Hämäläinen,fi FIN,DF,LAFC,21.0,1997.0,3.0,1.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0
260,5,Bill,Hamid,us USA,GK,DC United,28.0,1990.0,33.0,33.0,2970.0,0.0,0.0,0.0,0.0,0.0,0.0
261,23,Jordan,Hamilton,ca CAN,FW,Toronto FC,22.0,1996.0,14.0,7.0,624.0,4.0,0.0,0.0,0.0,0.0,0.0
262,4,Jordan,Hamilton,ca CAN,FW,Columbus Crew,22.0,1996.0,4.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
263,4,Niko,Hansen,dk DEN,"MF,DF",Columbus Crew,24.0,1994.0,9.0,2.0,252.0,0.0,0.0,0.0,0.0,1.0,0.0
264,8,Niko,Hansen,dk DEN,"MF,FW",Houston Dynamo,24.0,1994.0,4.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
265,10,Jordan,Harvey,us USA,DF,LAFC,35.0,1984.0,30.0,28.0,2359.0,1.0,4.0,0.0,0.0,4.0,0.0
266,22,Nicolas,Hasler,li LIE,DF,Sporting Kansas City,27.0,1991.0,9.0,7.0,636.0,0.0,0.0,0.0,0.0,0.0,0.0
267,2,Nicolas,Hasler,li LIE,DF,Chicago Fire,27.0,1991.0,3.0,1.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0
268,7,Jacori,Hayes,us USA,MF,FC Dallas,23.0,1995.0,19.0,8.0,854.0,0.0,2.0,0.0,0.0,1.0,0.0
269,14,Héber,,br BRA,FW,New York City FC,27.0,1991.0,22.0,18.0,1573.0,15.0,3.0,0.0,0.0,1.0,0.0
270,7,Matt,Hedges,us USA,DF,FC Dallas,28.0,1990.0,33.0,33.0,2883.0,1.0,0.0,0.0,0.0,5.0,1.0
271,24,Doneil,Henry,ca CAN,DF,Vancouver Whitecaps,25.0,1993.0,25.0,24.0,2123.0,4.0,0.0,0.0,0.0,3.0,0.0
272,2,Fabian,Herbers,de GER,"MF,FW",Chicago Fire,25.0,1993.0,17.0,7.0,780.0,3.0,1.0,0.0,0.0,3.0,0.0
273,22,Felipe,Hernandez,us USA,MF,Sporting Kansas City,20.0,1998.0,2.0,1.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
274,19,Aaron,Herrera,us USA,DF,Real Salt Lake,21.0,1997.0,32.0,31.0,2768.0,0.0,3.0,0.0,0.0,7.0,1.0
275,4,Federico,Higuaín,ar ARG,MF,Columbus Crew,34.0,1984.0,14.0,13.0,1129.0,1.0,3.0,0.0,1.0,2.0,0.0
276,16,Cristian,Higuita,co COL,MF,Orlando City SC,25.0,1994.0,9.0,7.0,643.0,0.0,0.0,0.0,0.0,5.0,0.0
277,20,Danny,Hoesen,nl NED,FW,San Jose Earthquakes,28.0,1991.0,30.0,12.0,1478.0,5.0,3.0,0.0,0.0,1.0,0.0
278,7,Ryan,Hollingshead,us USA,DF,FC Dallas,27.0,1991.0,34.0,33.0,2960.0,6.0,1.0,0.0,0.0,3.0,0.0
279,19,Erik,Holt,us USA,DF,Real Salt Lake,22.0,1996.0,5.0,5.0,370.0,0.0,0.0,0.0,0.0,0.0,0.0
280,21,Shandon,Hopeau,us USA,FW,Seattle Sounders FC,20.0,1998.0,1.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
281,10,André,Horta,pt POR,MF,LAFC,22.0,1996.0,4.0,2.0,184.0,0.0,0.0,0.0,0.0,1.0,0.0
282,3,Tim,Howard,us USA,GK,Colorado Rapids,39.0,1979.0,25.0,25.0,2159.0,0.0,0.0,0.0,0.0,1.0,0.0
283,6,Justin,Hoyte,tt TRI,DF,FC Cincinnati,34.0,1984.0,17.0,16.0,1476.0,0.0,0.0,0.0,0.0,3.0,0.0
284,22,Erik,Hurtado,us USA,FW,Sporting Kansas City,28.0,1990.0,13.0,8.0,816.0,2.0,0.0,0.0,0.0,1.0,0.0
286,1,Emerson,Hyndman,us USA,"MF,FW",Atlanta United,22.0,1996.0,15.0,10.0,987.0,1.0,1.0,0.0,0.0,1.0,0.0
287,11,Miguel,Ibarra,us USA,"FW,MF",Minnesota United,28.0,1990.0,22.0,16.0,1506.0,1.0,1.0,0.0,0.0,4.0,0.0
288,11,Romario,Ibarra,ec ECU,FW,Minnesota United,24.0,1994.0,8.0,4.0,380.0,2.0,0.0,0.0,0.0,1.0,0.0
289,14,Sebastien,Ibeagha,us USA,DF,New York City FC,27.0,1992.0,23.0,11.0,1117.0,0.0,0.0,0.0,0.0,1.0,0.0
290,9,Zlatan,Ibrahimović,se SWE,FW,LA Galaxy,37.0,1981.0,29.0,29.0,2610.0,30.0,7.0,6.0,7.0,7.0,0.0
291,17,Ilsinho,,br BRA,"FW,MF",Philadelphia Union,33.0,1985.0,28.0,7.0,1094.0,5.0,5.0,0.0,0.0,2.0,0.0
292,24,Hwang,In-beom,kr KOR,MF,Vancouver Whitecaps,22.0,1996.0,34.0,31.0,2806.0,3.0,3.0,1.0,1.0,6.0,0.0
293,3,Clint,Irwin,us USA,GK,Colorado Rapids,29.0,1989.0,11.0,9.0,901.0,0.0,0.0,0.0,0.0,0.0,0.0
294,15,Andreas,Ivan,ro ROU,"FW,MF",New York Red Bulls,24.0,1995.0,12.0,5.0,490.0,1.0,2.0,0.0,0.0,0.0,0.0
295,3,Niki,Jackson,us USA,"FW,MF",Colorado Rapids,23.0,1995.0,4.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
296,12,Anthony,Jackson-Hamel,ca CAN,FW,Montreal Impact,25.0,1993.0,16.0,6.0,623.0,3.0,0.0,0.0,0.0,0.0,0.0
297,18,Modou,Jadama,us USA,DF,Portland Timbers,24.0,1994.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
298,10,Dejan,Jakovic,ca CAN,DF,LAFC,33.0,1985.0,3.0,2.0,181.0,0.0,0.0,0.0,0.0,1.0,0.0
299,16,Robin,Jansson,se SWE,DF,Orlando City SC,27.0,1991.0,28.0,28.0,2420.0,0.0,0.0,0.0,0.0,6.0,1.0
300,5,Leonardo,Jara,ar ARG,DF,DC United,27.0,1991.0,30.0,25.0,2290.0,1.0,5.0,0.0,0.0,5.0,0.0
301,4,Hector,Jiménez,us USA,DF,Columbus Crew,30.0,1988.0,23.0,19.0,1619.0,1.0,2.0,0.0,0.0,1.0,0.0
302,19,Sam,Johnson,lr LBR,FW,Real Salt Lake,25.0,1993.0,24.0,15.0,1299.0,9.0,0.0,0.0,0.0,1.0,0.0
303,14,Sean,Johnson,us USA,GK,New York City FC,29.0,1989.0,29.0,29.0,2610.0,0.0,0.0,0.0,0.0,5.0,0.0
304,16,Will,Johnson,ca CAN,MF,Orlando City SC,32.0,1987.0,21.0,20.0,1692.0,1.0,1.0,0.0,0.0,2.0,0.0
305,13,DeJuan,Jones,us USA,"DF,MF",New England Revolution,21.0,1997.0,20.0,14.0,1297.0,1.0,0.0,0.0,0.0,0.0,0.0
306,17,Derrick,Jones,us USA,MF,Philadelphia Union,21.0,1997.0,2.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
307,21,Joevin,Jones,tt TRI,"FW,DF",Seattle Sounders FC,27.0,1991.0,17.0,9.0,923.0,0.0,2.0,0.0,0.0,2.0,0.0
308,20,Judson,,br BRA,MF,San Jose Earthquakes,25.0,1993.0,27.0,23.0,1909.0,1.0,0.0,0.0,0.0,10.0,0.0
309,20,Florian,Jungwirth,de GER,DF,San Jose Earthquakes,30.0,1989.0,30.0,30.0,2670.0,0.0,1.0,0.0,0.0,4.0,0.0
310,9,Vitor,Junior,br BRA,DF,LA Galaxy,30.0,1989.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
312,15,Mathias,Jørgensen,dk DEN,"FW,MF",New York Red Bulls,18.0,2000.0,5.0,1.0,120.0,0.0,0.0,0.0,0.0,1.0,0.0
313,15,Kaku,,py PAR,MF,New York Red Bulls,24.0,1995.0,26.0,21.0,1924.0,5.0,4.0,0.0,0.0,0.0,2.0
314,11,Brent,Kallman,us USA,DF,Minnesota United,28.0,1990.0,16.0,14.0,1283.0,0.0,1.0,0.0,0.0,2.0,0.0
315,3,Kei,Kamara,sl SLE,FW,Colorado Rapids,34.0,1984.0,29.0,29.0,2539.0,14.0,1.0,4.0,7.0,5.0,1.0
316,5,Ola,Kamara,no NOR,FW,DC United,29.0,1989.0,5.0,3.0,256.0,3.0,0.0,0.0,0.0,0.0,0.0
317,2,Johan,Kappelhof,nl NED,DF,Chicago Fire,28.0,1990.0,29.0,29.0,2560.0,0.0,1.0,0.0,0.0,5.0,0.0
318,20,Guram,Kashia,ge GEO,DF,San Jose Earthquakes,31.0,1987.0,23.0,21.0,1907.0,0.0,0.0,0.0,0.0,2.0,0.0
319,2,Aleksandar,Katai,rs SRB,"FW,MF",Chicago Fire,27.0,1991.0,29.0,24.0,2100.0,6.0,6.0,0.0,0.0,3.0,1.0
320,10,Mark-Anthony,Kaye,ca CAN,MF,LAFC,24.0,1994.0,31.0,27.0,2499.0,4.0,8.0,0.0,0.0,7.0,0.0
321,21,Kim,Kee-hee,kr KOR,DF,Seattle Sounders FC,29.0,1989.0,30.0,30.0,2603.0,0.0,1.0,0.0,0.0,6.0,0.0
322,4,Aboubacar,Keita,us USA,DF,Columbus Crew,18.0,2000.0,10.0,8.0,802.0,0.0,0.0,0.0,0.0,0.0,0.0
323,4,Jon,Kempin,us USA,GK,Columbus Crew,25.0,1993.0,3.0,3.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0
324,24,Jasser,Khemiri,tn TUN,DF,Vancouver Whitecaps,21.0,1997.0,1.0,1.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
325,12,Daniel,Kinumbe,ca CAN,DF,Montreal Impact,19.0,1999.0,1.0,1.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
326,9,Perry,Kitchen,us USA,MF,LA Galaxy,26.0,1992.0,8.0,6.0,573.0,0.0,0.0,0.0,0.0,0.0,0.0
327,16,Sacha,Kljestan,us USA,"MF,FW",Orlando City SC,33.0,1985.0,23.0,13.0,1359.0,1.0,3.0,0.0,0.0,3.0,1.0
328,13,Brad,Knighton,us USA,GK,New England Revolution,33.0,1985.0,8.0,7.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0
329,1,Kevin,Kratz,de GER,MF,Atlanta United,32.0,1987.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
330,19,Damir,Kreilach,hr CRO,"MF,FW",Real Salt Lake,29.0,1989.0,32.0,32.0,2656.0,6.0,4.0,1.0,1.0,6.0,1.0
331,12,Bojan,Krkić,es ESP,"MF,FW",Montreal Impact,28.0,1990.0,8.0,7.0,606.0,3.0,0.0,0.0,0.0,0.0,0.0
332,12,Ken,Krolicki,us USA,MF,Montreal Impact,22.0,1996.0,10.0,5.0,528.0,0.0,0.0,0.0,0.0,2.0,0.0
333,2,Kenneth,Kronholm,de GER,GK,Chicago Fire,33.0,1985.0,20.0,20.0,1800.0,0.0,0.0,0.0,0.0,1.0,0.0
334,15,Connor,Lade,us USA,DF,New York Red Bulls,29.0,1989.0,11.0,10.0,845.0,1.0,1.0,0.0,0.0,0.0,0.0
